id,record_name,gene_name,subcell_loc
Q93015,NAA80_HUMAN,NAA80,"Cytoplasm, cytosol<br>"
Q93033,IGSF2_HUMAN,CD101,Membrane<br>
Q93034,CUL5_HUMAN,CUL5,Nucleus<br> Note=Localizes to sites of DNA damage in a UBAP2 and UBAP2L-dependent manner.<br>
Q93038,TNR25_HUMAN,TNFRSF25,<br>[Isoform 1]:<br> Cell membrane; Single-pass type I membrane protein.<br>[Isoform 2]:<br> Cell membrane; Single-pass type I membrane protein.<br>[Isoform 9]:<br> Cell membrane; Single-pass type I membrane protein.<br>[Isoform 11]:<br> Cell membrane; Single-pass type I membrane protein.<br>[Isoform 3]:<br> Secreted.<br>[Isoform 4]:<br> Secreted.<br>[Isoform 5]:<br> Secreted.<br>[Isoform 6]:<br> Secreted.<br>[Isoform 7]:<br> Secreted.<br>[Isoform 8]:<br> Secreted.<br>[Isoform 10]:<br> Secreted.<br>[Isoform 12]:<br> Secreted.
Q93045,STMN2_HUMAN,STMN2,"Cytoplasm<br> Cytoplasm, perinuclear region<br> Cell projection, growth cone. Membrane<br> Cell projection, axon. Golgi apparatus. Endosome<br> Cell projection, lamellipodium. Note=Associated with punctate structures in the perinuclear cytoplasm, axons, and growth cones of developing neurons. SCG10 exists in both soluble and membrane- bound forms. Colocalized with CIB1 in neurites of developing hippocampal primary neurons (By similarity). Colocalized with CIB1 in the cell body, neuritis and growth cones of neurons. Colocalized with CIB1 to the leading edge of lamellipodia.<br>"
Q93050,VPP1_HUMAN,ATP6V0A1,"Cytoplasmic vesicle, clathrin-coated vesicle membrane<br> Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane<br> Melanosome<br> Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV.<br>"
Q93052,LPP_HUMAN,LPP,"Nucleus. Cytoplasm. Cell junction. Cell membrane. Note=Found in the nucleus, in the cytoplasm and at cell adhesion sites. Shuttles between the cytoplasm and the nucleus. It has been found in sites of cell adhesion such as cell-to-cell contact and focal adhesion which are membrane attachment sites of cells to the extracellular matrix. Mainly nuclear when fused with HMGA2/HMGIC and KMT2A/MLL1."
Q93062,RBPMS_HUMAN,RBPMS,"Nucleus<br> Cytoplasm<br> Cytoplasm, Stress granule<br> Cytoplasm, P-body<br> Note=Localized to cytoplasmic stress granules after oxidative stress (PubMed:24860013). Translocates into cytoplasmic stress granules that probably corresponds to P-bodies in response to oxidative stress (PubMed:26347403).<br>"
Q93063,EXT2_HUMAN,EXT2,"Golgi apparatus membrane<br> Golgi apparatus, cis-Golgi network membrane<br> Endoplasmic reticulum membrane<br> Secreted<br> Note=The active heparan sulfate polymerase complex composed of EXT1 and EXT2 is localized to the Golgi apparatus. If both proteins are individually detected in the endoplasmic reticulum, the formation of the complex promotes their transport to the Golgi.<br>"
Q93070,NAR4_HUMAN,ART4,"Cell membrane; Lipid-anchor, GPI-anchor."
Q93074,MED12_HUMAN,MED12,Nucleus<br>
Q93077,H2A1C_HUMAN,H2AC6,Nucleus. Chromosome.
Q93079,H2B1H_HUMAN,H2BC9,Nucleus. Chromosome.
Q93084,AT2A3_HUMAN,ATP2A3,Nucleus membrane<br> Endoplasmic reticulum membrane<br> Sarcoplasmic reticulum membrane<br>
Q93086,P2RX5_HUMAN,P2RX5,Membrane; Multi-pass membrane protein.
Q93088,BHMT1_HUMAN,BHMT,"Cytoplasm, cytosol<br> Nucleus<br> Note=Predominantly localized in the cytoplasm with a small fraction detected in the nucleus. Translocates into the nucleus upon oxidative stress.<br>"
Q93091,RNAS6_HUMAN,RNASE6,Secreted<br> Lysosome<br> Cytoplasmic granule<br>
Q93096,TP4A1_HUMAN,PTP4A1,"Cell membrane<br> Early endosome<br> Endoplasmic reticulum<br> Cytoplasm<br> Cytoplasm, cytoskeleton, spindle<br> Nucleus<br> Note=And mitotic spindle.<br>"
Q93097,WNT2B_HUMAN,WNT2B,"Secreted, extracellular space, extracellular matrix<br> Secreted<br>"
Q93098,WNT8B_HUMAN,WNT8B,"Secreted, extracellular space, extracellular matrix."
Q93099,HGD_HUMAN,HGD,
Q93100,KPBB_HUMAN,PHKB,Cell membrane<br>
Q95460,HMR1_HUMAN,MR1,"Cell membrane<br> Golgi apparatus membrane<br> Early endosome membrane<br> Late endosome membrane<br> Note=In the absence of antigen remains within the endoplasmic reticulum where it acts as a metabolite sensor. Antigen binding triggers trafficking of the ternary complex to the plasma membrane. After presentation, most of these complexes are rapidly internalized and degraded via endocytosis. A small subset recycles via endosomes back to the plasma membrane and may thus acquire and present new antigens that do not efficiently reach the endoplasmic reticulum.<br><br>[Isoform 1]:<br> Cell membrane<br> Endoplasmic reticulum membrane<br><br>[Isoform 3]:<br> Cell membrane<br> Endoplasmic reticulum membrane<br> Note=The larger proportion remains in the ER in an immature state. The subset that reach cell surface does it through a B2M-independent pathway.<br><br>[Isoform 4]:<br> Secreted<br>"
Q969D9,TSLP_HUMAN,TSLP,Secreted<br>
Q969E2,SCAM4_HUMAN,SCAMP4,Membrane; Multi-pass membrane protein.
Q969E3,UCN3_HUMAN,UCN3,Secreted.
Q969E8,TSR2_HUMAN,TSR2,
Q969F0,FATE1_HUMAN,FATE1,Mitochondrion<br> Mitochondrion outer membrane<br> Endoplasmic reticulum membrane<br> Note=Localized to specific membrane structures termed mitochondria- associated membranes (MAMs) which connect the endoplasmic reticulum (ER) and the mitochondria. Also associated with the outer surface of mitochondria at sites that are not in close contact with the ER.<br>
Q969F1,TF3C6_HUMAN,GTF3C6,Nucleus<br>
Q969F2,NKD2_HUMAN,NKD2,Cell membrane<br> Cytoplasm<br> Cytoplasmic vesicle<br>
Q969F8,KISSR_HUMAN,KISS1R,Cell membrane; Multi-pass membrane protein.
Q969F9,HPS3_HUMAN,HPS3,"Cytoplasm<br> Cytoplasm, cytosol<br>"
Q969G2,LHX4_HUMAN,LHX4,Nucleus<br>
Q969G3,SMCE1_HUMAN,SMARCE1,Nucleus<br>
Q969G5,CAVN3_HUMAN,CAVIN3,"Cytoplasm<br> Membrane, caveola<br> Cytoplasm, cytosol<br> Note=Localizes in the caveolae in a caveolin-dependent manner.<br>"
Q969G6,RIFK_HUMAN,RFK,Cytoplasm<br>
Q969G9,NKD1_HUMAN,NKD1,Cell membrane<br> Cytoplasm<br>
Q969H0,FBXW7_HUMAN,FBXW7,"<br>[Isoform 1]:<br> Nucleus, nucleoplasm<br> Chromosome<br> Note=Localizes to site of double-strand breaks following phosphorylation by ATM.<br><br>[Isoform 2]:<br> Cytoplasm<br><br>[Isoform 3]:<br> Nucleus, nucleolus<br>"
Q969H4,CNKR1_HUMAN,CNKSR1,Cytoplasm<br> Membrane<br>
Q969H6,POP5_HUMAN,POP5,"Nucleus, nucleolus<br>"
Q969H8,MYDGF_HUMAN,MYDGF,Secreted<br> Endoplasmic reticulum-Golgi intermediate compartment<br> Endoplasmic reticulum<br> Golgi apparatus<br> Note=The C-terminal RTEL motif may provide retention in the endoplasmic reticulum.<br>
Q969I6,S38A4_HUMAN,SLC38A4,"Cell membrane<br> Cell projection, microvillus membrane<br>"
Q969J2,ZKSC4_HUMAN,ZKSCAN4,Nucleus<br>
Q969J3,BORC5_HUMAN,BORCS5,Lysosome membrane<br>
Q969J5,I22R2_HUMAN,IL22RA2,Secreted<br>
Q969K3,RNF34_HUMAN,RNF34,"Cell membrane<br> Endomembrane system<br> Nucleus<br> Nucleus speckle<br> Cytoplasm, cytosol<br>"
Q969K4,ABTB1_HUMAN,ABTB1,Cytoplasm<br>
Q969K7,TMM54_HUMAN,TMEM54,Membrane<br>
Q969L2,MAL2_HUMAN,MAL2,"Cell membrane; Multi-pass membrane protein. Apical cell membrane; Multi-pass membrane protein. Endomembrane system. Cytoplasm, perinuclear region. Note=Associated with lipid rafts. In polarized epithelial cells, restricted to the apical surface. In hepatocytes, as well as in polarized hepatoma Hep-G2 cells, found in the canalicular membrane, equivalent to the apical surface, beneath the canalicular actin cytoskeleton. In non-polarized Hep-G2 cells, distributed to the perinuclear region."
Q969L4,LSM10_HUMAN,LSM10,Nucleus<br>
Q969M3,YIPF5_HUMAN,YIPF5,Endoplasmic reticulum membrane<br> Note=Enriched at the endoplasmic reticulum exit sites (By similarity). Incorporated into COPII-coated vesicles (By similarity).<br>
Q969M7,UBE2F_HUMAN,UBE2F,
Q969N2,PIGT_HUMAN,PIGT,Endoplasmic reticulum membrane<br>
Q969P0,IGSF8_HUMAN,IGSF8,Cell membrane; Single-pass membrane protein.
Q969P5,FBX32_HUMAN,FBXO32,Cytoplasm<br> Nucleus<br> Note=Shuttles between cytoplasm and the nucleus.
Q969P6,TOP1M_HUMAN,TOP1MT,Mitochondrion<br>
Q969Q1,TRI63_HUMAN,TRIM63,"Cytoplasm. Nucleus<br> Cytoplasm, myofibril, sarcomere, M line. Cytoplasm, myofibril, sarcomere, Z line. Note=Colocalizes with TNNI3 in myocytes (By similarity). Localizes to the M- and Z-lines in skeletal muscle.<br>"
Q969Q5,RAB24_HUMAN,RAB24,"Cytoplasm, cytosol<br> Membrane<br> Note=Only about 20-25% is recovered in the particulate fraction.<br>"
Q969Q6,P2R3C_HUMAN,PPP2R3C,Nucleus<br> Cytoplasm<br> Note=Excluded from the nucleoli. Localization is cell cycle-dependent. Localizes to the cytoplasm during cytokinesis.<br>
Q969R2,OSBP2_HUMAN,OSBP2,Membrane; Peripheral membrane protein.
Q969R5,LMBL2_HUMAN,L3MBTL2,Nucleus<br>
Q969R8,ITFG2_HUMAN,ITFG2,Lysosome membrane<br> Note=Localization to lysosomes is amino acid-independent.<br>
Q969S0,S35B4_HUMAN,SLC35B4,Endoplasmic reticulum membrane<br>
Q969S2,NEIL2_HUMAN,NEIL2,Nucleus<br>
Q969S3,ZN622_HUMAN,ZNF622,Cytoplasm<br> Nucleus<br>
Q969S6,TM203_HUMAN,TMEM203,"Endoplasmic reticulum membrane<br> Endoplasmic reticulum-Golgi intermediate compartment<br> Lysosome membrane<br> Note=Co-localizes with STING1 in the lysosome membrane, mediates lysosomal localization of STING1.<br>"
Q969S8,HDA10_HUMAN,HDAC10,Cytoplasm<br> Nucleus<br> Note=Excluded from nucleoli.<br>
Q969S9,RRF2M_HUMAN,GFM2,Mitochondrion<br>
Q969T4,UB2E3_HUMAN,UBE2E3,Nucleus<br> Cytoplasm<br> Note=Shuttles between the nucleus and cytoplasm in a IPO11-dependent manner.
Q969T7,5NT3B_HUMAN,NT5C3B,Cytoplasm<br>
Q969T9,WBP2_HUMAN,WBP2,Cytoplasm<br> Nucleus<br> Note=Translocates from cytoplasm to nucleus when phosphorylated.<br>
Q969U6,FBXW5_HUMAN,FBXW5,Cytoplasm<br>
Q969U7,PSMG2_HUMAN,PSMG2,Nucleus<br>
Q969V3,NCLN_HUMAN,NCLN,Endoplasmic reticulum membrane<br>
Q969V4,TEKT1_HUMAN,TEKT1,"Cytoplasm, cytoskeleton, cilium axoneme<br> Cytoplasm, cytoskeleton, flagellum axoneme<br>"
Q969V5,MUL1_HUMAN,MUL1,Mitochondrion outer membrane<br> Peroxisome<br> Note=Transported in mitochondrion- derived vesicles from the mitochondrion to the peroxisome.<br>
Q969V6,MRTFA_HUMAN,MRTFA,"Cytoplasm<br> Nucleus<br> Note=Subcellular location is tightly regulated by actin both in cytoplasm and nucleus: high levels of G-actin in the nucleus observed during serum deprivation lead to low levels of nuclear MRTFA, while reduced levels of nuclear G-actin result in accumulation of MRTFA in the nucleus (By similarity). G-actin-binding in the cytoplasm inhibits nuclear import by masking the nuclear localization signal (NLS) (By similarity). In contrast, binding to nuclear globular actin (G-actin) promotes nuclear export to the cytoplasm (By similarity). Nuclear localization is regulated by MICAL2, which mediates depolymerization of nuclear actin, which decreases nuclear G-actin pool, thereby promoting retention of MRTFA in the nucleus and subsequent formation of an active complex with SRF (PubMed:24440334).<br>"
Q969W0,SPTSA_HUMAN,SPTSSA,Endoplasmic reticulum membrane<br>
Q969W1,ZDH16_HUMAN,ZDHHC16,Endoplasmic reticulum membrane<br>
Q969W9,PMEPA_HUMAN,PMEPA1,Early endosome membrane; Single-pass membrane protein. Golgi apparatus membrane; Single-pass membrane protein.
Q969X0,RIPL2_HUMAN,RILPL2,"Cytoplasm, cytosol<br> Cytoplasm, cytoskeleton, microtubule organizing center, centrosome<br> Cell projection, cilium<br>"
Q969X1,LFG3_HUMAN,TMBIM1,Membrane<br> Lysosome membrane<br> Endosome membrane<br>
Q969X2,SIA7F_HUMAN,ST6GALNAC6,Golgi apparatus membrane<br>
Q969X5,ERGI1_HUMAN,ERGIC1,Endoplasmic reticulum membrane<br> Endoplasmic reticulum-Golgi intermediate compartment membrane<br> Golgi apparatus membrane<br> Note=Cycles between the endoplasmic reticulum and the Golgi.
Q969X6,UTP4_HUMAN,UTP4,"Nucleus, nucleolus<br> Chromosome<br> Note=Found predominantly at the fibrillar center.<br>"
Q969Y2,GTPB3_HUMAN,GTPBP3,Mitochondrion<br>
Q969Z0,FAKD4_HUMAN,TBRG4,Mitochondrion matrix<br>
Q969Z3,MARC2_HUMAN,MTARC2,Mitochondrion outer membrane; Peripheral membrane protein. Peroxisome<br>
Q969Z4,TR19L_HUMAN,RELT,"Cell membrane<br> Cytoplasm<br> Cytoplasm, perinuclear region<br>"
Q96A08,H2B1A_HUMAN,H2BC1,Nucleus<br> Chromosome<br>
Q96A09,TET5B_HUMAN,TENT5B,Cytoplasm<br> Nucleus<br>
Q96A11,G3ST3_HUMAN,GAL3ST3,"Golgi apparatus, Golgi stack membrane<br>"
Q96A25,T106A_HUMAN,TMEM106A,Cell membrane<br>
Q96A26,F162A_HUMAN,FAM162A,Mitochondrion membrane<br>
Q96A29,FUCT1_HUMAN,SLC35C1,Golgi apparatus membrane<br>
Q96A32,MYL11_HUMAN,MYL11,
Q96A33,CCD47_HUMAN,CCDC47,Endoplasmic reticulum membrane<br> Rough endoplasmic reticulum membrane<br>
Q96A37,RN166_HUMAN,RNF166,Cytoplasm<br>
Q96A44,SPSB4_HUMAN,SPSB4,"Cytoplasm<br> Cytoplasm, cytosol<br> Note=Exhibits a diffuse cytosolic localization.<br>"
Q96A49,SYAP1_HUMAN,SYAP1,"Cytoplasm, perinuclear region<br> Golgi apparatus<br> Perikaryon<br> Cell projection, axon<br> Cell projection, dendrite<br> Cell projection, growth cone<br> Presynaptic cell membrane<br> Postsynaptic cell membrane<br> Membrane<br> Note=Localizes to cholinergic neuromuscular junctions and in actin-rich growth cone regions (By similarity). Membrane-associated in a epidermal growth factor (EGF)-dependent manner (PubMed:23300339).<br>"
Q96A54,PAQR1_HUMAN,ADIPOR1,Cell membrane<br> Note=Localized to the cell membrane and intracellular organelles.<br>
Q96A56,T53I1_HUMAN,TP53INP1,"Cytoplasm, cytosol. Nucleus. Nucleus, PML body. Cytoplasmic vesicle, autophagosome. Note=Shuttles between the nucleus and the cytoplasm, depending on cellular stress conditions, and re- localizes to autophagosomes on autophagy activation."
Q96A57,TM230_HUMAN,TMEM230,"Membrane<br> Golgi apparatus, trans-Golgi network<br> Cytoplasmic vesicle, secretory vesicle, synaptic vesicle<br> Early endosome<br> Recycling endosome<br> Late endosome<br> Cytoplasmic vesicle, autophagosome<br>"
Q96A58,RERG_HUMAN,RERG,Cytoplasm<br>
Q96A59,MALD3_HUMAN,MARVELD3,"Membrane<br> Cell junction, tight junction<br>"
Q96A61,TRI52_HUMAN,TRIM52,"Cytoplasm<br> Cytoplasm, cytosol<br> Nucleus<br>"
Q96A65,EXOC4_HUMAN,EXOC4,"Midbody, Midbody ring<br> Cell projection<br> Cytoplasm, cytoskeleton, microtubule organizing center, centrosome<br> Note=Colocalizes with CNTRL/centriolin at the midbody ring (PubMed:16213214). Localizes at the leading edge of migrating cells (By similarity).<br>"
Q96A70,AZIN2_HUMAN,AZIN2,"Nucleus. Cytoplasm<br> Cytoplasm, perinuclear region. Membrane<br> Cytoplasmic vesicle. Endoplasmic reticulum-Golgi intermediate compartment<br> Golgi apparatus, cis-Golgi network<br> Golgi apparatus, trans-Golgi network. Cytoplasmic granule. Cell projection, axon. Cell projection, dendrite. Perikaryon. Note=Colocalizes with KDEL receptors in ER-Golgi intermediate compartment (ERGIC). Translocates from the ERGIC structure to the cytoplasm in an antizyme-dependent manner. Localizes with vesicle-associated membrane protein VAMP8 in the vicinity of the plasma membrane within serotonin-containing secretory granules (By similarity). Detected as vesicle-like pattern in neurite outgrowths. Localizes to the vesicular compartments of the secretory pathway, predominantly in the trans-Golgi network (TGN). Localizes with vesicle-associated membrane protein VAMP8 in the vicinity of the plasma membrane within serotonin-containing secretory granules.<br>"
Q96A72,MGN2_HUMAN,MAGOHB,Nucleus<br>
Q96A83,COQA1_HUMAN,COL26A1,"Secreted, extracellular space, extracellular matrix."
Q96AA3,RFT1_HUMAN,RFT1,Membrane<br>
Q96AA8,JKIP2_HUMAN,JAKMIP2,Golgi apparatus<br>
Q96AB6,NTAN1_HUMAN,NTAN1,Cytoplasm<br>
Q96AC1,FERM2_HUMAN,FERMT2,"Cytoplasm. Cytoplasm, cell cortex. Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, stress fiber. Cell junction, focal adhesion. Membrane; Peripheral membrane protein; Cytoplasmic side. Cell projection, lamellipodium membrane; Peripheral membrane protein; Cytoplasmic side. Nucleus. Cytoplasm, myofibril, sarcomere, I band<br> Cell surface<br> Note=Colocalizes with actin stress fibers at cell-ECM focal adhesion sites. Colocalizes with ITGB3 at lamellipodia at the leading edge of spreading cells. Binds to membranes that contain phosphatidylinositides."
Q96AD5,PLPL2_HUMAN,PNPLA2,Lipid droplet<br> Cell membrane<br> Cytoplasm<br>
Q96AE4,FUBP1_HUMAN,FUBP1,Nucleus<br>
Q96AE7,TTC17_HUMAN,TTC17,"Cytoplasm<br> Cell membrane<br> Cytoplasm, cytoskeleton<br> Note=Colocalized with CATIP at F-actin rich zones and at dynamic plasma membrane protrusions."
Q96AG3,S2546_HUMAN,SLC25A46,Mitochondrion outer membrane<br>
Q96AG4,LRC59_HUMAN,LRRC59,"Microsome membrane<br> Endoplasmic reticulum membrane; Single-pass type II membrane protein. Nucleus envelope. Note=Localization in the nuclear envelope depends upon the nuclear import machinery, including KPNB1."
Q96AH0,SOSB2_HUMAN,NABP1,Nucleus<br> Note=Localizes to nuclear foci following DNA damage.
Q96AH8,RAB7B_HUMAN,RAB7B,"Late endosome<br> Lysosome<br> Golgi apparatus<br> Golgi apparatus, trans- Golgi network<br> Cytoplasmic vesicle, phagosome<br> Cytoplasmic vesicle, phagosome membrane<br> Note=Recruited to phagosomes containing S.aureus or M.tuberculosis.<br>"
Q96AJ1,CLUA1_HUMAN,CLUAP1,"Cell projection, cilium<br> Nucleus<br>"
Q96AJ9,VTI1A_HUMAN,VTI1A,Cytoplasmic vesicle<br> Golgi apparatus membrane<br>
Q96AK3,ABC3D_HUMAN,APOBEC3D,"Cytoplasm<br> Cytoplasm, P-body."
Q96AN5,TM143_HUMAN,TMEM143,Membrane<br>
Q96AP0,ACD_HUMAN,ACD,"Nucleus<br> Chromosome, telomere<br>"
Q96AP4,ZUP1_HUMAN,ZUP1,Cytoplasm<br> Nucleus<br> Note=Mostly present in the nuclear fraction. Localizes to DNA lesions.<br>
Q96AP7,ESAM_HUMAN,ESAM,"Cell junction, adherens junction<br> Cell junction, tight junction<br> Cell membrane<br>"
Q96AQ6,PBIP1_HUMAN,PBXIP1,"Cytoplasm, cytoskeleton<br> Nucleus<br> Note=Shuttles between the nucleus and the cytosol (PubMed:12360403). Mainly localized in the cytoplasm, associated with microtubules (PubMed:10825160, PubMed:12360403). Detected in small amounts in the nucleus (PubMed:10825160)."
Q96AQ7,CIDEC_HUMAN,CIDEC,"Lipid droplet<br> Endoplasmic reticulum<br> Nucleus<br> Note=Diffuses quickly on lipid droplet surface, but becomes trapped and clustered at lipid droplet contact sites, thereby enabling its rapid enrichment at lipid droplet contact sites.<br>"
Q96AQ8,MCUR1_HUMAN,MCUR1,Mitochondrion inner membrane<br>
Q96AT9,RPE_HUMAN,RPE,
Q96AV8,E2F7_HUMAN,E2F7,Nucleus<br>
Q96AW1,VOPP1_HUMAN,VOPP1,"Cytoplasmic vesicle membrane<br> Late endosome membrane<br> Lysosome membrane<br> Note=When overexpressed, localizes in the nucleus and perinuclear regions.<br>"
Q96AX1,VP33A_HUMAN,VPS33A,"Cytoplasmic vesicle<br> Late endosome membrane<br> Lysosome membrane<br> Early endosome<br> Cytoplasmic vesicle, autophagosome<br> Cytoplasmic vesicle, clathrin-coated vesicle<br>"
Q96AX2,RAB37_HUMAN,RAB37,Cytoplasmic vesicle. Note=Secretory granules.<br>
Q96AX9,MIB2_HUMAN,MIB2,Cytoplasm<br> Endosome<br> Note=Colocalizes with endosomal compartments.
Q96AY2,EME1_HUMAN,EME1,"Nucleus, nucleolus<br> Note=Recruited to regions of DNA damage in S-phase cells."
Q96AY3,FKB10_HUMAN,FKBP10,Endoplasmic reticulum lumen<br>
Q96AY4,TTC28_HUMAN,TTC28,"Cytoplasm, cytoskeleton<br> Cytoplasm, cytoskeleton, microtubule organizing center, centrosome<br> Cytoplasm, cytoskeleton, spindle<br> Cytoplasm, cytoskeleton, spindle pole<br> Midbody<br> Note=At interphase, localizes to centrosomes. At prometaphase and metaphase, associated with spindle microtubules and spindle poles. At anaphase, accumulates in the spindle midzone. At telophase, condensed on central spindles. During cytokinesis, condensed on the midbody where it colocalizes with AURKB (By similarity).<br>"
Q96AZ1,EFMT3_HUMAN,EEF1AKMT3,"Cytoplasm<br> Cytoplasm, cytoskeleton, microtubule organizing center, centrosome<br>"
Q96AZ6,ISG20_HUMAN,ISG20,"Nucleus<br> Nucleus, nucleolus<br> Cytoplasm<br> Nucleus, Cajal body<br> Cytoplasm, P-body<br>"
Q96B01,R51A1_HUMAN,RAD51AP1,"Chromosome<br> Nucleus<br> Chromosome, telomere<br> Note=Colocalizes with RAD51 to multiple nuclear foci (By similarity). Colocalizes with DMC1 on meiotic chromatin (By similarity).<br>"
Q96B02,UBE2W_HUMAN,UBE2W,"Nucleus<br> Note=In the nucleus, colocalizes with FANCL.<br>"
Q96B18,DACT3_HUMAN,DACT3,
Q96B21,TM45B_HUMAN,TMEM45B,"Endosome membrane<br> Lysosome membrane<br> Golgi apparatus, trans-Golgi network membrane<br>"
Q96B23,ARK2N_HUMAN,ARK2N,Nucleus<br>
Q96B26,EXOS8_HUMAN,EXOSC8,"Cytoplasm<br> Nucleus<br> Nucleus, nucleolus<br>"
Q96B36,AKTS1_HUMAN,AKT1S1,"Cytoplasm, cytosol<br> Note=Found in the cytosolic fraction of the brain.<br>"
Q96B42,TMM18_HUMAN,TMEM18,Cytoplasm<br> Nucleus membrane<br>
Q96B49,TOM6_HUMAN,TOMM6,Mitochondrion outer membrane<br>
Q96B67,ARRD3_HUMAN,ARRDC3,"Cytoplasm<br> Cell membrane<br> Lysosome<br> Endosome<br> Early endosome<br> Note=Associated with plasma membrane, as well as with endosomes and lysosomes during endocytosis (PubMed:16269462, PubMed:23208550, PubMed:20559325).<br>"
Q96B86,RGMA_HUMAN,RGMA,Cell membrane<br>
Q96B96,LDAF1_HUMAN,LDAF1,"Endoplasmic reticulum membrane<br> Lipid droplet<br> Note=Co- localizes with BSCL2/seipin in the ER, upon LD formation dissociates from BSCL2/seipin and relocalizes to LD surfaces during LD maturation.<br>"
Q96B97,SH3K1_HUMAN,SH3KBP1,"Cytoplasm<br> Cytoplasm, cytoskeleton. Cytoplasmic vesicle membrane; Peripheral membrane protein. Synapse, synaptosome. Cell junction, focal adhesion<br> Note=Localized in endocytic vesicles containing clustered receptors. Colocalizes with ASAP1 in vesicular structures. Colocalized with actin microfilaments and focal adhesions (By similarity). Colocalized with MAGI2 in synaptosomes. Translocation to EGFR containing vesicles upon EGF stimulation is inhibited in the presence of SH3KBP1 (By similarity). Colocalizes with ZFP36 in the cytoplasm (PubMed:20221403).<br>"
Q96BA8,CR3L1_HUMAN,CREB3L1,"<br>[Cyclic AMP-responsive element-binding protein 3- like protein 1]:<br> Endoplasmic reticulum membrane<br><br>[Processed cyclic AMP-responsive element-binding protein 3-like protein 1]:<br> Nucleus<br> Note=Upon ER stress or DNA damage, transported into the nucleus.<br>"
Q96BD0,SO4A1_HUMAN,SLCO4A1,Cell membrane<br>
Q96BD5,PF21A_HUMAN,PHF21A,Nucleus<br>
Q96BD6,SPSB1_HUMAN,SPSB1,"Cytoplasm<br> Cytoplasm, cytosol<br> Note=Exhibits a diffuse cytosolic localization.<br>"
Q96BD8,SKA1_HUMAN,SKA1,"Cytoplasm, cytoskeleton, spindle<br> Chromosome, centromere, kinetochore<br> Note=Localizes to the outer kinetochore and spindle microtubules during mitosis in a NDC80 complex-dependent manner (PubMed:17093495). Localizes to both the mitotic spindle and kinetochore-associated proteins (PubMed:17093495). Associates with kinetochores following microtubule attachment from prometaphase, through mid-anaphase and then vanishes in telophase (PubMed:17093495).<br>"
Q96BF3,TMIG2_HUMAN,TMIGD2,Cell membrane<br>
Q96BF6,NACC2_HUMAN,NACC2,Nucleus<br> Note=Predominantly associated with chromatin.
Q96BH1,RNF25_HUMAN,RNF25,Cytoplasm<br>
Q96BI1,S22AI_HUMAN,SLC22A18,Apical cell membrane<br> Note=Localized at the apical membrane surface of renal proximal tubules.<br>
Q96BI3,APH1A_HUMAN,APH1A,"Endoplasmic reticulum membrane<br> Golgi apparatus, Golgi stack membrane<br> Note=Predominantly located in the endoplasmic reticulum and in the cis-Golgi.<br>"
Q96BJ3,AIDA_HUMAN,AIDA,
Q96BK5,PINX1_HUMAN,PINX1,"Nucleus<br> Nucleus, nucleolus. Chromosome, telomere. Chromosome, centromere, kinetochore. Note=Localizes in nucleoli, at telomere speckles and to the outer plate of kinetochores. Localization to the kinetochore is mediated by its central region and depends on NDC80 and CENPE."
Q96BM1,ANKR9_HUMAN,ANKRD9,"Cytoplasmic vesicle<br> Cytoplasm, cytosol<br> Note=Detected in long filamentous cytosolic structures where it colocalizes with IMPDH2 (PubMed:31337707). Under basal conditions ANKRD9 is mainly in vesicle-like structures, upon nutrient limitation (guanine nucleotides deficiency) ANKRD9 loses its vesicular pattern and assembles with IMPDH2 into rodlike filaments (PubMed:31337707).<br>"
Q96BM9,ARL8A_HUMAN,ARL8A,"Late endosome membrane<br> Lysosome membrane<br> Cytoplasm, cytoskeleton, spindle<br> Cell projection, axon<br> Synapse<br> Note=Localizes with microtubules at the spindle mid-zone during mitosis.<br>"
Q96BN2,TADA1_HUMAN,TADA1,Nucleus<br>
Q96BN8,OTUL_HUMAN,OTULIN,Cytoplasm<br>
Q96BP2,CHCH1_HUMAN,CHCHD1,Mitochondrion<br> Nucleus<br>
Q96BP3,PPWD1_HUMAN,PPWD1,Nucleus<br> Note=Associated with spliceosomal complexes.<br>
Q96BR1,SGK3_HUMAN,SGK3,Cytoplasmic vesicle<br> Early endosome. Recycling endosome. Note=Endosomal localization is a prerequisite for complete kinase activity. It is essential for its colocalization with the kinase responsible for phosphorylating Ser-486 thus allowing PDPK1 phosphorylation of Thr-320 resulting in complete activation of SGK3. Localized in vesicle-like structures and in the early endosome. Colocalizes with SLC9A3/NHE3 in the recycling endosomes.
Q96BR5,COA7_HUMAN,COA7,Mitochondrion intermembrane space<br> Note=The import in the mitochondrion intermembrane space is mediated by CHCHD4/MIA40.<br>
Q96BR6,ZN669_HUMAN,ZNF669,Nucleus<br>
Q96BR9,ZBT8A_HUMAN,ZBTB8A,Nucleus<br>
Q96BS2,CHP3_HUMAN,TESC,"Nucleus<br> Cytoplasm<br> Membrane<br> Cell membrane<br> Cell projection, lamellipodium<br> Cell projection, ruffle membrane<br> Note=Colocalizes with SLC9A1 at the plasma membrane.<br>"
